name,team,image,battingStyle,bowlingStyle,playingRole
KL Rahul,India,,Right hand Bat,,Opening Batter
Rohit Sharma(c),India,,Right hand Bat,Right arm Offbreak,Top order Batter
Virat Kohli,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png",Right hand Bat,Right arm Medium,Top order Batter
Suryakumar Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png",Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Axar Patel,India,,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Hardik Pandya,India,,Right hand Bat,Right arm Medium fast,Allrounder
Dinesh Karthik,India,,Right hand Bat,,Wicketkeeper Batter
Ravichandran Ashwin,India,,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Bhuvneshwar Kumar,India,,Right hand Bat,Right arm Medium,Bowler
Arshdeep Singh,India,,Left hand Bat,Left arm Medium fast,Bowler
Mohammed Shami,India,,Right hand Bat,Right arm Fast,Bowler
Rishabh Pant,India,,Left hand Bat,,Wicketkeeper Batter
Deepak Hooda,India,,Right hand Bat,Right arm Offbreak,Allrounder
Shubman Gill,India,,Right hand Bat,,Opening Batter
Washington Sundar,India,,Left hand Bat,Right arm Offbreak,Bowling Allrounder
Shreyas Iyer,India,,Right hand Bat,,Batter
Ishan Kishan,India,,Left hand Bat,,Wicketkeeper Batter
Sanju Samson,India,,Right hand Bat,,Wicketkeeper Batter
Ravindra Jadeja,India,,Left hand Bat,Left arm Medium fast-,Allrounder
Yuzvendra Chahal,India,,Right hand Bat,Left arm Medium fast-,Bowler
Kuldeep Yadav,India,,Left hand Bat,Left arm Medium fast-,Bowler
Prasidh Krishna,India,,Right hand Bat,Right arm Fast,Bowler
Mukesh Kumar,India,,Right hand Bat,Right arm Medium fast,Bowler
Md Siraj,India,,Right hand Bat,Right arm Fast,Bowler
Jasprit Bumrah,India,,Right hand Bat,Right arm Fast,Bowler
Shardul Thakur,India,,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Shikhar Dhawan,India,,Left hand Bat,,Opening Batter
Avesh Khan,India,,Right hand Bat,Right arm Fast,Bowler
Deepak Chahar,India,,Right hand Bat,Right arm Fast,Bowler
